ruleId,file,line,message
java/stack-trace-exposure,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00005.java,118,[Error information](1) can be exposed to an external user.
java/stack-trace-exposure,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00019.java,103,[Error information](1) can be exposed to an external user.
java/stack-trace-exposure,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,108,[Error information](1) can be exposed to an external user.
java/stack-trace-exposure,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,114,[Error information](1) can be exposed to an external user.
java/stack-trace-exposure,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,120,[Error information](1) can be exposed to an external user.
java/stack-trace-exposure,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,126,[Error information](1) can be exposed to an external user.
java/stack-trace-exposure,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,132,[Error information](1) can be exposed to an external user.
java/stack-trace-exposure,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,138,[Error information](1) can be exposed to an external user.
java/stack-trace-exposure,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00020.java,144,[Error information](1) can be exposed to an external user.
java/stack-trace-exposure,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00035.java,118,[Error information](1) can be exposed to an external user.
java/stack-trace-exposure,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00050.java,109,[Error information](1) can be exposed to an external user.
java/stack-trace-exposure,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00050.java,115,[Error information](1) can be exposed to an external user.
java/stack-trace-exposure,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00050.java,121,[Error information](1) can be exposed to an external user.
java/stack-trace-exposure,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00050.java,127,[Error information](1) can be exposed to an external user.
java/stack-trace-exposure,src/main/java/org/owasp/benchmark/testcode/BenchmarkTest00050.java,133,[Error information](1) can be exposed to an external user.
